DrawDateText,DrawDate,N1,N2,N3,N4,N5,Thunderball,Winners,Source
Saturday 1st January 2022,2022-01-01,4,6,8,10,18,7,204159,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 4th January 2022,2022-01-04,6,13,31,32,34,1,68377,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 5th January 2022,2022-01-05,5,16,21,30,34,7,131924,https://www.lottery.co.uk/thunderball/results/archive-2022
Friday 7th January 2022,2022-01-07,4,15,16,30,34,14,92592,https://www.lottery.co.uk/thunderball/results/archive-2022
Saturday 8th January 2022,2022-01-08,10,15,26,27,38,13,158962,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 11th January 2022,2022-01-11,6,7,16,17,18,11,90494,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 12th January 2022,2022-01-12,4,7,18,26,31,1,90140,https://www.lottery.co.uk/thunderball/results/archive-2022
Friday 14th January 2022,2022-01-14,14,15,18,29,33,7,120351,https://www.lottery.co.uk/thunderball/results/archive-2022
Saturday 15th January 2022,2022-01-15,4,11,13,24,39,9,170563,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 18th January 2022,2022-01-18,11,17,19,22,27,3,91000,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 19th January 2022,2022-01-19,5,12,16,17,38,3,104500,https://www.lottery.co.uk/thunderball/results/archive-2022
Friday 21st January 2022,2022-01-21,4,8,11,16,38,7,122780,https://www.lottery.co.uk/thunderball/results/archive-2022
Saturday 22nd January 2022,2022-01-22,13,15,23,26,28,1,137544,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 25th January 2022,2022-01-25,10,11,12,17,21,4,84225,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 26th January 2022,2022-01-26,13,14,22,23,29,10,99399,https://www.lottery.co.uk/thunderball/results/archive-2022
Friday 28th January 2022,2022-01-28,1,3,19,23,31,13,101783,https://www.lottery.co.uk/thunderball/results/archive-2022
Saturday 29th January 2022,2022-01-29,5,7,11,25,35,13,163383,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 1st February 2022,2022-02-01,4,24,33,36,39,5,87949,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 2nd February 2022,2022-02-02,11,16,21,23,27,14,100176,https://www.lottery.co.uk/thunderball/results/archive-2022
Friday 4th February 2022,2022-02-04,7,19,23,26,29,7,124287,https://www.lottery.co.uk/thunderball/results/archive-2022
Saturday 5th February 2022,2022-02-05,4,12,15,19,34,13,159619,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 8th February 2022,2022-02-08,3,5,14,19,36,2,82602,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 9th February 2022,2022-02-09,4,10,24,26,29,2,96852,https://www.lottery.co.uk/thunderball/results/archive-2022
Friday 11th February 2022,2022-02-11,2,8,18,37,38,8,117216,https://www.lottery.co.uk/thunderball/results/archive-2022
Saturday 12th February 2022,2022-02-12,6,13,18,29,34,4,167805,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 15th February 2022,2022-02-15,1,2,12,23,39,7,102085,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 16th February 2022,2022-02-16,20,21,26,28,39,11,111978,https://www.lottery.co.uk/thunderball/results/archive-2022
Friday 18th February 2022,2022-02-18,6,7,9,20,23,14,93039,https://www.lottery.co.uk/thunderball/results/archive-2022
Saturday 19th February 2022,2022-02-19,1,11,13,20,22,1,133232,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 22nd February 2022,2022-02-22,2,6,21,34,37,8,87837,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 23rd February 2022,2022-02-23,1,7,19,24,30,14,96656,https://www.lottery.co.uk/thunderball/results/archive-2022
Friday 25th February 2022,2022-02-25,5,15,28,37,39,3,96264,https://www.lottery.co.uk/thunderball/results/archive-2022
Saturday 26th February 2022,2022-02-26,4,8,20,23,27,8,181670,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 1st March 2022,2022-03-01,2,10,22,32,35,3,81179,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 2nd March 2022,2022-03-02,2,7,8,9,10,7,136600,https://www.lottery.co.uk/thunderball/results/archive-2022
Friday 4th March 2022,2022-03-04,7,15,25,26,30,3,98530,https://www.lottery.co.uk/thunderball/results/archive-2022
Saturday 5th March 2022,2022-03-05,7,20,26,30,34,4,162129,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 8th March 2022,2022-03-08,5,19,25,26,32,12,83287,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 9th March 2022,2022-03-09,5,17,22,31,38,6,108810,https://www.lottery.co.uk/thunderball/results/archive-2022
Friday 11th March 2022,2022-03-11,8,22,23,32,34,6,97445,https://www.lottery.co.uk/thunderball/results/archive-2022
Saturday 12th March 2022,2022-03-12,5,12,25,30,35,10,157112,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 15th March 2022,2022-03-15,16,18,23,26,30,3,84505,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 16th March 2022,2022-03-16,8,9,22,31,36,13,103728,https://www.lottery.co.uk/thunderball/results/archive-2022
Friday 18th March 2022,2022-03-18,5,15,16,30,35,7,120789,https://www.lottery.co.uk/thunderball/results/archive-2022
Saturday 19th March 2022,2022-03-19,2,14,21,23,30,3,159208,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 22nd March 2022,2022-03-22,23,28,34,35,37,1,64264,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 23rd March 2022,2022-03-23,5,24,31,32,38,8,112659,https://www.lottery.co.uk/thunderball/results/archive-2022
Friday 25th March 2022,2022-03-25,6,9,25,32,39,7,114947,https://www.lottery.co.uk/thunderball/results/archive-2022
Saturday 26th March 2022,2022-03-26,4,7,11,31,33,1,134400,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 29th March 2022,2022-03-29,7,26,27,29,34,8,85852,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 30th March 2022,2022-03-30,8,18,27,30,31,9,110587,https://www.lottery.co.uk/thunderball/results/archive-2022
Friday 1st April 2022,2022-04-01,12,14,18,22,32,11,101037,https://www.lottery.co.uk/thunderball/results/archive-2022
Saturday 2nd April 2022,2022-04-02,11,22,23,32,35,13,153939,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 5th April 2022,2022-04-05,10,11,17,20,30,8,92119,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 6th April 2022,2022-04-06,4,7,9,20,37,5,121543,https://www.lottery.co.uk/thunderball/results/archive-2022
Friday 8th April 2022,2022-04-08,5,21,35,37,38,13,94453,https://www.lottery.co.uk/thunderball/results/archive-2022
Saturday 9th April 2022,2022-04-09,13,14,17,19,33,9,162361,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 12th April 2022,2022-04-12,7,21,29,36,37,12,74424,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 13th April 2022,2022-04-13,2,6,16,31,35,1,80890,https://www.lottery.co.uk/thunderball/results/archive-2022
Friday 15th April 2022,2022-04-15,6,12,17,19,24,2,91928,https://www.lottery.co.uk/thunderball/results/archive-2022
Saturday 16th April 2022,2022-04-16,4,8,12,16,26,10,154103,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 19th April 2022,2022-04-19,6,19,23,24,39,13,75405,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 20th April 2022,2022-04-20,11,21,30,33,38,14,95385,https://www.lottery.co.uk/thunderball/results/archive-2022
Friday 22nd April 2022,2022-04-22,7,8,17,24,32,11,100476,https://www.lottery.co.uk/thunderball/results/archive-2022
Saturday 23rd April 2022,2022-04-23,1,3,24,27,36,9,156214,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 26th April 2022,2022-04-26,3,18,24,26,34,3,82247,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 27th April 2022,2022-04-27,1,15,33,34,39,6,98418,https://www.lottery.co.uk/thunderball/results/archive-2022
Friday 29th April 2022,2022-04-29,3,24,28,34,35,7,123581,https://www.lottery.co.uk/thunderball/results/archive-2022
Saturday 30th April 2022,2022-04-30,3,26,27,36,38,14,141350,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 3rd May 2022,2022-05-03,1,18,20,25,26,3,80445,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 4th May 2022,2022-05-04,9,18,23,24,39,2,86367,https://www.lottery.co.uk/thunderball/results/archive-2022
Friday 6th May 2022,2022-05-06,2,18,23,31,37,9,96002,https://www.lottery.co.uk/thunderball/results/archive-2022
Saturday 7th May 2022,2022-05-07,7,10,20,21,27,13,156042,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 10th May 2022,2022-05-10,1,14,23,24,31,1,66688,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 11th May 2022,2022-05-11,18,20,22,24,26,13,101658,https://www.lottery.co.uk/thunderball/results/archive-2022
Friday 13th May 2022,2022-05-13,2,6,13,29,38,8,111535,https://www.lottery.co.uk/thunderball/results/archive-2022
Saturday 14th May 2022,2022-05-14,1,13,28,31,34,8,172352,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 17th May 2022,2022-05-17,19,21,24,26,32,1,65349,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 18th May 2022,2022-05-18,3,8,22,23,36,2,86250,https://www.lottery.co.uk/thunderball/results/archive-2022
Friday 20th May 2022,2022-05-20,30,32,33,36,37,13,97423,https://www.lottery.co.uk/thunderball/results/archive-2022
Saturday 21st May 2022,2022-05-21,1,13,23,31,35,7,196979,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 24th May 2022,2022-05-24,1,6,14,15,22,4,92222,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 25th May 2022,2022-05-25,22,23,24,30,37,2,85995,https://www.lottery.co.uk/thunderball/results/archive-2022
Friday 27th May 2022,2022-05-27,11,21,33,36,37,10,94394,https://www.lottery.co.uk/thunderball/results/archive-2022
Saturday 28th May 2022,2022-05-28,2,21,25,34,37,1,128406,https://www.lottery.co.uk/thunderball/results/archive-2022
Tuesday 31st May 2022,2022-05-31,7,11,17,31,36,5,97269,https://www.lottery.co.uk/thunderball/results/archive-2022
Wednesday 1st June 2022,2022-06-01,3,13,23,30,39,9,109438,https://www.lottery.co.uk/thunderball/results/archive-2022
