DrawDateText,DrawDate,N1,N2,N3,N4,N5,Thunderball,Winners,Source
Friday 2nd January 2026,2026-01-02,4,12,18,19,32,9,103407,https://www.lottery.co.uk/thunderball/results/archive-2026
Saturday 3rd January 2026,2026-01-03,2,3,9,13,38,9,147755,https://www.lottery.co.uk/thunderball/results/archive-2026
Tuesday 6th January 2026,2026-01-06,1,2,16,22,30,4,87188,https://www.lottery.co.uk/thunderball/results/archive-2026
Wednesday 7th January 2026,2026-01-07,1,10,13,26,38,6,90126,https://www.lottery.co.uk/thunderball/results/archive-2026
Friday 9th January 2026,2026-01-09,3,8,15,32,36,5,102711,https://www.lottery.co.uk/thunderball/results/archive-2026
Saturday 10th January 2026,2026-01-10,23,29,31,38,39,5,156596,https://www.lottery.co.uk/thunderball/results/archive-2026
Tuesday 13th January 2026,2026-01-13,9,17,18,21,27,7,103962,https://www.lottery.co.uk/thunderball/results/archive-2026
Wednesday 14th January 2026,2026-01-14,16,17,22,33,39,6,90394,https://www.lottery.co.uk/thunderball/results/archive-2026
Friday 16th January 2026,2026-01-16,3,7,27,28,29,12,96364,https://www.lottery.co.uk/thunderball/results/archive-2026
Saturday 17th January 2026,2026-01-17,7,11,12,23,37,7,180315,https://www.lottery.co.uk/thunderball/results/archive-2026
Tuesday 20th January 2026,2026-01-20,4,10,13,32,37,10,83090,https://www.lottery.co.uk/thunderball/results/archive-2026
Wednesday 21st January 2026,2026-01-21,6,7,13,20,21,4,94924,https://www.lottery.co.uk/thunderball/results/archive-2026
Friday 23rd January 2026,2026-01-23,7,15,18,26,32,3,101068,https://www.lottery.co.uk/thunderball/results/archive-2026
Saturday 24th January 2026,2026-01-24,3,15,22,29,39,5,163578,https://www.lottery.co.uk/thunderball/results/archive-2026
Tuesday 27th January 2026,2026-01-27,14,16,22,27,29,13,81477,https://www.lottery.co.uk/thunderball/results/archive-2026
Wednesday 28th January 2026,2026-01-28,3,6,14,22,24,4,93559,https://www.lottery.co.uk/thunderball/results/archive-2026
Friday 30th January 2026,2026-01-30,24,29,36,38,39,13,92783,https://www.lottery.co.uk/thunderball/results/archive-2026
Saturday 31st January 2026,2026-01-31,2,11,14,27,39,1,118588,https://www.lottery.co.uk/thunderball/results/archive-2026
Tuesday 3rd February 2026,2026-02-03,2,15,20,26,30,14,77711,https://www.lottery.co.uk/thunderball/results/archive-2026
Wednesday 4th February 2026,2026-02-04,16,29,32,36,37,10,85828,https://www.lottery.co.uk/thunderball/results/archive-2026
Friday 6th February 2026,2026-02-06,4,14,15,21,39,1,75803,https://www.lottery.co.uk/thunderball/results/archive-2026
Saturday 7th February 2026,2026-02-07,4,12,13,23,29,11,146864,https://www.lottery.co.uk/thunderball/results/archive-2026
Tuesday 10th February 2026,2026-02-10,2,8,14,32,35,2,71700,https://www.lottery.co.uk/thunderball/results/archive-2026
Wednesday 11th February 2026,2026-02-11,20,21,24,36,39,3,91069,https://www.lottery.co.uk/thunderball/results/archive-2026
Friday 13th February 2026,2026-02-13,1,11,13,16,27,8,107941,https://www.lottery.co.uk/thunderball/results/archive-2026
Saturday 14th February 2026,2026-02-14,14,20,22,31,39,5,153866,https://www.lottery.co.uk/thunderball/results/archive-2026
Tuesday 17th February 2026,2026-02-17,14,29,32,36,38,11,77488,https://www.lottery.co.uk/thunderball/results/archive-2026
Wednesday 18th February 2026,2026-02-18,11,15,17,27,34,6,89351,https://www.lottery.co.uk/thunderball/results/archive-2026
Friday 20th February 2026,2026-02-20,1,3,4,8,11,3,98886,https://www.lottery.co.uk/thunderball/results/archive-2026
Saturday 21st February 2026,2026-02-21,12,14,32,35,36,12,125760,https://www.lottery.co.uk/thunderball/results/archive-2026
Tuesday 24th February 2026,2026-02-24,7,8,11,14,19,13,83224,https://www.lottery.co.uk/thunderball/results/archive-2026
Wednesday 25th February 2026,2026-02-25,2,11,21,31,38,5,102968,https://www.lottery.co.uk/thunderball/results/archive-2026
Friday 27th February 2026,2026-02-27,11,16,26,29,34,8,104147,https://www.lottery.co.uk/thunderball/results/archive-2026
Saturday 28th February 2026,2026-02-28,3,5,7,33,38,5,154910,https://www.lottery.co.uk/thunderball/results/archive-2026
Tuesday 3rd March 2026,2026-03-03,10,15,16,17,24,12,72994,https://www.lottery.co.uk/thunderball/results/archive-2026
Wednesday 4th March 2026,2026-03-04,17,20,32,35,38,2,77106,https://www.lottery.co.uk/thunderball/results/archive-2026
