Mode,Entity,SourceKey,Action,DatabaseId,Details
COMMITTED,PREFLIGHT,CARD:1815,PREFLIGHT_FULL_TO_CREATE,,Card '1815' is not in dbo.Participants and will be created inside the transaction.
COMMITTED,PREFLIGHT,CARD:3489,PREFLIGHT_FULL_TO_CREATE,,Card '3489' is not in dbo.Participants and will be created inside the transaction.
COMMITTED,PREFLIGHT,CARD:4529,PREFLIGHT_FULL_TO_CREATE,,Card '4529' is not in dbo.Participants and will be created inside the transaction.
COMMITTED,PREFLIGHT,CARD:763,PREFLIGHT_FULL_TO_CREATE,,Card '763' is not in dbo.Participants and will be created inside the transaction.
COMMITTED,PREFLIGHT,CARD:767,PREFLIGHT_FULL_TO_CREATE,,Card '767' is not in dbo.Participants and will be created inside the transaction.
COMMITTED,PREFLIGHT,CARD:815,PREFLIGHT_FULL_TO_CREATE,,Card '815' is not in dbo.Participants and will be created inside the transaction.
COMMITTED,PREFLIGHT,CARD:874,PREFLIGHT_FULL_TO_CREATE,,Card '874' is not in dbo.Participants and will be created inside the transaction.
COMMITTED,PREFLIGHT,CARD:961,PREFLIGHT_FULL_TO_CREATE,,Card '961' is not in dbo.Participants and will be created inside the transaction.
COMMITTED,SESSION,CALTHORPE|AEROBICS|2025-11-03|1000|1045,NEW_SESSION,4082,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|AEROBICS|2025-11-10|1000|1045,NEW_SESSION,4083,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|AEROBICS|2025-11-17|1000|1045,NEW_SESSION,4084,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|AEROBICS|2025-11-24|1000|1045,NEW_SESSION,4085,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|AEROBICS|2025-12-01|1000|1045,NEW_SESSION,4086,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2025-11-04|1130|1230,NEW_SESSION,4087,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2025-11-05|1215|1315,NEW_SESSION,4088,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2025-11-11|1130|1230,NEW_SESSION,4089,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2025-11-12|1215|1315,NEW_SESSION,4090,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2025-11-18|1130|1230,NEW_SESSION,4091,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2025-11-19|1215|1315,NEW_SESSION,4092,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2025-11-25|1130|1230,NEW_SESSION,4093,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2025-11-26|1215|1315,NEW_SESSION,4094,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2025-12-02|1130|1230,NEW_SESSION,4095,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2025-12-03|1215|1315,NEW_SESSION,4096,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2025-12-09|1130|1230,NEW_SESSION,4097,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2026-01-16|1300|1430,NEW_SESSION,4098,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2026-01-23|1300|1430,NEW_SESSION,4099,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2026-01-30|1300|1430,NEW_SESSION,4100,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2026-02-06|1300|1430,NEW_SESSION,4101,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2026-02-13|1300|1430,NEW_SESSION,4102,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2026-02-20|1230|1400,NEW_SESSION,4103,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2026-02-27|1230|1400,NEW_SESSION,4104,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2026-03-06|1230|1400,NEW_SESSION,4105,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2026-03-13|1230|1400,NEW_SESSION,4106,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2026-03-20|1230|1400,NEW_SESSION,4107,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2026-03-27|1230|1400,NEW_SESSION,4108,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2026-04-03|1230|1400,NEW_SESSION,4109,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2026-04-10|1230|1400,NEW_SESSION,4110,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2026-04-17|1230|1400,NEW_SESSION,4111,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2026-04-24|1230|1400,NEW_SESSION,4112,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2026-05-01|1230|1400,NEW_SESSION,4113,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2026-05-08|1230|1400,NEW_SESSION,4114,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2026-05-15|1230|1400,NEW_SESSION,4115,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|ARTS|2026-05-22|1230|1400,NEW_SESSION,4116,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2025-11-07|1145|1230,NEW_SESSION,4117,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2025-11-14|1145|1230,NEW_SESSION,4118,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2025-11-21|1145|1230,NEW_SESSION,4119,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2025-11-28|1145|1230,NEW_SESSION,4120,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2025-12-05|1145|1230,NEW_SESSION,4121,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2025-12-12|1145|1230,NEW_SESSION,4122,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2025-12-19|1145|1230,NEW_SESSION,4123,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2026-01-16|1100|1145,EXISTING_SESSION,153,Matched 1 CRM session(s). Selected SessionId 153; existing attendance=14.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2026-01-23|1100|1145,EXISTING_SESSION,168,Matched 1 CRM session(s). Selected SessionId 168; existing attendance=16.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2026-01-30|1100|1145,EXISTING_SESSION,184,Matched 1 CRM session(s). Selected SessionId 184; existing attendance=15.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2026-02-06|1100|1145,EXISTING_SESSION,201,Matched 1 CRM session(s). Selected SessionId 201; existing attendance=10.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2026-02-13|1100|1145,EXISTING_SESSION,217,Matched 1 CRM session(s). Selected SessionId 217; existing attendance=15.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2026-02-20|1100|1145,EXISTING_SESSION,232,Matched 1 CRM session(s). Selected SessionId 232; existing attendance=8.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2026-02-27|1100|1145,EXISTING_SESSION,247,Matched 1 CRM session(s). Selected SessionId 247; existing attendance=11.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2026-03-06|1100|1145,EXISTING_SESSION,260,Matched 1 CRM session(s). Selected SessionId 260; existing attendance=0.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2026-03-13|1100|1145,EXISTING_SESSION,273,Matched 1 CRM session(s). Selected SessionId 273; existing attendance=13.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2026-03-20|1100|1145,EXISTING_SESSION,283,Matched 1 CRM session(s). Selected SessionId 283; existing attendance=0.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2026-03-27|1100|1145,NEW_SESSION,4124,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2026-04-03|1100|1145,NEW_SESSION,4125,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2026-04-10|1100|1145,NEW_SESSION,4126,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2026-04-17|1100|1145,NEW_SESSION,4127,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2026-04-24|1100|1145,NEW_SESSION,4128,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2026-05-01|1100|1145,NEW_SESSION,4129,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2026-05-08|1100|1145,NEW_SESSION,4130,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2026-05-15|1100|1145,NEW_SESSION,4131,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2026-05-22|1100|1145,NEW_SESSION,4132,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|BODY CONDITIONING|2026-05-29|1100|1145,NEW_SESSION,4133,Inserted inside the current SQL transaction.
COMMITTED,SESSION,CALTHORPE|CHAIR BASED EXERCISE|2025-11-03|1100|1145,NEW_SESSION,4134,Inserted inside the current SQL transaction.
